tiempo,paso,framerate,n_part,tiemposindraw,tiempocondraw
0.405,0.05,2.4691358,400,24.0,112.0
0.704,0.05,3.3444817,400,8.0,45.0
0.764,0.05,16.666668,400,1.0,37.0
0.81,0.05,21.73913,400,1.0,28.0
0.849,0.05,25.641026,400,1.0,27.0
0.886,0.05,27.027027,400,0.0,23.0
0.918,0.05,31.249998,400,1.0,25.0
0.954,0.05,27.777779,400,1.0,29.0
0.992,0.05,26.31579,400,1.0,28.0
1.029,0.05,27.027027,400,1.0,44.0
1.0830001,0.05,18.518518,400,1.0,30.0
1.121,0.05,26.31579,400,1.0,39.0
1.1700001,0.05,20.408163,400,1.0,34.0
1.2120001,0.05,23.809525,400,1.0,30.0
1.2520001,0.05,25.0,400,1.0,32.0
1.297,0.05,22.222221,400,0.0,26.0
1.332,0.05,28.571428,400,1.0,37.0
1.3790001,0.05,21.276596,400,1.0,45.0
1.4310001,0.05,19.230768,400,1.0,32.0
1.4710001,0.05,25.0,400,1.0,11.0
1.488,0.05,58.823524,400,1.0,10.0
1.505,0.05,58.823524,400,1.0,10.0
1.524,0.05,52.63158,400,0.0,10.0
1.5400001,0.05,62.499996,400,1.0,10.0
1.5600001,0.05,50.0,400,0.0,10.0
1.5760001,0.05,62.499996,400,1.0,17.0
1.6000001,0.05,41.666668,400,1.0,11.0
1.6170001,0.05,58.823524,400,1.0,12.0
1.6350001,0.05,55.555557,400,0.0,13.0
1.6580001,0.05,43.47826,400,2.0,13.0
1.6770002,0.05,52.63158,400,1.0,13.0
1.6980002,0.05,47.61905,400,1.0,14.0
1.7180002,0.05,50.0,400,1.0,17.0
1.7420002,0.05,41.666668,400,1.0,10.0
1.7590002,0.05,58.823524,400,0.0,9.0
1.7760001,0.05,58.823524,400,1.0,14.0
1.7970002,0.05,47.61905,400,1.0,16.0
1.8190001,0.05,45.454544,400,1.0,11.0
1.8370001,0.05,55.555557,400,0.0,13.0
1.8570001,0.05,50.0,400,1.0,10.0
1.8760002,0.05,52.63158,400,1.0,19.0
1.9010001,0.05,40.0,400,1.0,11.0
1.9180001,0.05,58.823524,400,1.0,11.0
1.9350001,0.05,58.823524,400,1.0,10.0
1.9530001,0.05,55.555557,400,1.0,13.0
1.9710001,0.05,55.555557,400,1.0,10.0
1.9890001,0.05,55.555557,400,1.0,10.0
2.006,0.05,58.823524,400,0.0,9.0
2.023,0.05,58.823524,400,1.0,10.0
2.039,0.05,62.499996,400,1.0,11.0
2.057,0.05,55.555557,400,1.0,12.0
2.076,0.05,52.63158,400,1.0,10.0
2.0939999,0.05,55.555557,400,1.0,10.0
2.11,0.05,62.499996,400,1.0,10.0
2.1269999,0.05,58.823524,400,1.0,10.0
2.143,0.05,62.499996,400,2.0,13.0
2.1629999,0.05,50.0,400,1.0,16.0
2.1839998,0.05,47.61905,400,1.0,10.0
2.2039998,0.05,50.0,400,1.0,9.0
2.2179997,0.05,71.428566,400,1.0,10.0
2.2369998,0.05,52.63158,400,1.0,14.0
2.2579997,0.05,47.61905,400,2.0,14.0
2.2789996,0.05,47.61905,400,0.0,12.0
2.2989995,0.05,50.0,400,0.0,8.0
2.3159995,0.05,58.823524,400,1.0,15.0
2.3379996,0.05,45.454544,400,1.0,11.0
2.3559995,0.05,55.555557,400,1.0,9.0
2.3739994,0.05,55.555557,400,1.0,10.0
2.3879993,0.05,71.428566,400,1.0,8.0
2.4059992,0.05,55.555557,400,1.0,9.0
2.4219992,0.05,62.499996,400,1.0,9.0
2.4389992,0.05,58.823524,400,1.0,8.0
2.456999,0.05,55.555557,400,1.0,14.0
2.475999,0.05,52.63158,400,1.0,8.0
2.493999,0.05,55.555557,400,1.0,8.0
2.509999,0.05,62.499996,400,1.0,8.0
2.526999,0.05,58.823524,400,1.0,10.0
2.542999,0.05,62.499996,400,1.0,8.0
2.560999,0.05,55.555557,400,0.0,8.0
2.576999,0.05,62.499996,400,1.0,8.0
2.593999,0.05,58.823524,400,1.0,8.0
2.6109989,0.05,58.823524,400,0.0,7.0
2.6279988,0.05,58.823524,400,5.0,12.0
2.6439989,0.05,62.499996,400,9.0,20.0
2.668999,0.05,40.0,400,1.0,8.0
2.6869988,0.05,55.555557,400,1.0,8.0
2.7029989,0.05,62.499996,400,1.0,8.0
2.7209988,0.05,55.555557,400,1.0,9.0
2.7379987,0.05,58.823524,400,0.0,9.0
2.7549987,0.05,58.823524,400,1.0,10.0
2.7719986,0.05,58.823524,400,1.0,19.0
