tiempo,paso,framerate,n_part,tiemposindraw,tiempocondraw
0.379,0.05,2.6385224,400,15.0,107.0
0.667,0.05,3.4722223,400,6.0,34.0
0.708,0.05,24.390244,400,1.0,26.0
0.741,0.05,30.30303,400,0.0,25.0
0.775,0.05,29.411762,400,1.0,36.0
0.819,0.05,22.727272,400,0.0,30.0
0.856,0.05,27.027027,400,0.0,21.0
0.885,0.05,34.48276,400,1.0,17.0
0.90999997,0.05,40.0,400,1.0,14.0
0.92999995,0.05,50.0,400,0.0,10.0
0.94699997,0.05,58.823524,400,0.0,11.0
0.965,0.05,55.555557,400,1.0,12.0
0.98399997,0.05,52.63158,400,0.0,11.0
1.0009999,0.05,58.823524,400,1.0,12.0
1.02,0.05,52.63158,400,0.0,10.0
1.037,0.05,58.823524,400,1.0,11.0
1.055,0.05,55.555557,400,0.0,10.0
1.071,0.05,62.499996,400,1.0,10.0
1.09,0.05,52.63158,400,0.0,10.0
1.1060001,0.05,62.499996,400,1.0,11.0
1.123,0.05,58.823524,400,0.0,10.0
1.143,0.05,50.0,400,0.0,10.0
1.161,0.05,55.555557,400,0.0,10.0
1.178,0.05,58.823524,400,0.0,10.0
1.196,0.05,55.555557,400,1.0,11.0
1.214,0.05,55.555557,400,1.0,10.0
1.233,0.05,52.63158,400,1.0,10.0
1.2490001,0.05,62.499996,400,1.0,14.0
1.2700001,0.05,47.61905,400,1.0,11.0
1.2900001,0.05,50.0,400,2.0,13.0
1.3100001,0.05,50.0,400,1.0,12.0
1.3280001,0.05,55.555557,400,0.0,11.0
1.3440001,0.05,62.499996,400,1.0,10.0
1.3620001,0.05,55.555557,400,0.0,9.0
1.3810002,0.05,52.63158,400,0.0,9.0
1.3950002,0.05,71.428566,400,1.0,10.0
1.4140003,0.05,52.63158,400,1.0,18.0
1.4400003,0.05,38.461536,400,1.0,17.0
1.4650003,0.05,40.0,400,1.0,11.0
1.4840003,0.05,52.63158,400,0.0,9.0
1.5000004,0.05,62.499996,400,0.0,10.0
1.5170003,0.05,58.823524,400,1.0,10.0
1.5320003,0.05,66.66667,400,1.0,11.0
1.5500003,0.05,55.555557,400,1.0,10.0
1.5680003,0.05,55.555557,400,0.0,10.0
1.5850003,0.05,58.823524,400,0.0,9.0
1.6020002,0.05,58.823524,400,1.0,10.0
1.6180003,0.05,62.499996,400,1.0,11.0
1.6370003,0.05,52.63158,400,1.0,12.0
1.6550003,0.05,55.555557,400,1.0,17.0
1.6790004,0.05,41.666668,400,1.0,18.0
1.7030004,0.05,41.666668,400,0.0,18.0
1.7280004,0.05,40.0,400,1.0,15.0
1.7490004,0.05,47.61905,400,1.0,15.0
1.7710004,0.05,45.454544,400,1.0,14.0
1.7910004,0.05,50.0,400,0.0,9.0
1.8090004,0.05,55.555557,400,1.0,14.0
1.8290004,0.05,50.0,400,0.0,15.0
1.8520004,0.05,43.47826,400,0.0,10.0
1.8690003,0.05,58.823524,400,1.0,11.0
1.8860003,0.05,58.823524,400,1.0,15.0
1.9060003,0.05,50.0,400,1.0,12.0
1.9240003,0.05,55.555557,400,1.0,13.0
1.9430003,0.05,52.63158,400,1.0,10.0
1.9630003,0.05,50.0,400,1.0,14.0
1.9820004,0.05,52.63158,400,1.0,10.0
2.0000002,0.05,55.555557,400,1.0,10.0
2.0160003,0.05,62.499996,400,0.0,9.0
2.0330002,0.05,58.823524,400,2.0,11.0
2.0500002,0.05,58.823524,400,1.0,11.0
2.0670002,0.05,58.823524,400,0.0,9.0
2.084,0.05,58.823524,400,0.0,9.0
2.101,0.05,58.823524,400,0.0,10.0
2.119,0.05,55.555557,400,0.0,9.0
2.134,0.05,66.66667,400,0.0,9.0
2.152,0.05,55.555557,400,0.0,13.0
2.171,0.05,52.63158,400,1.0,11.0
2.189,0.05,55.555557,400,0.0,9.0
2.205,0.05,62.499996,400,0.0,9.0
2.2229998,0.05,55.555557,400,0.0,10.0
2.2389998,0.05,62.499996,400,0.0,10.0
2.2559998,0.05,58.823524,400,0.0,10.0
2.2739997,0.05,55.555557,400,5.0,15.0
2.2939997,0.05,50.0,400,12.0,21.0
2.3209996,0.05,37.037037,400,0.0,9.0
2.3389995,0.05,55.555557,400,1.0,10.0
2.3539996,0.05,66.66667,400,1.0,10.0
2.3719995,0.05,55.555557,400,1.0,10.0
2.3899994,0.05,55.555557,400,0.0,10.0
2.4049995,0.05,66.66667,400,1.0,15.0
2.4259994,0.05,47.61905,400,1.0,13.0
2.4459994,0.05,50.0,400,2.0,14.0
2.4659994,0.05,50.0,400,0.0,9.0
2.4869993,0.05,47.61905,400,0.0,10.0
2.5019994,0.05,66.66667,400,1.0,10.0
2.5199993,0.05,55.555557,400,2.0,11.0
2.5369992,0.05,58.823524,400,0.0,10.0
2.5529993,0.05,62.499996,400,1.0,10.0
2.5709991,0.05,55.555557,400,0.0,9.0
2.587999,0.05,58.823524,400,1.0,14.0
2.607999,0.05,50.0,400,2.0,11.0
2.625999,0.05,55.555557,400,1.0,10.0
2.642999,0.05,58.823524,400,1.0,18.0
2.6669989,0.05,41.666668,400,0.0,13.0
2.685999,0.05,52.63158,400,1.0,17.0
2.707999,0.05,45.454544,400,1.0,10.0
2.724999,0.05,58.823524,400,1.0,11.0
2.744999,0.05,50.0,400,1.0,12.0
2.761999,0.05,58.823524,400,0.0,10.0
2.7819989,0.05,50.0,400,1.0,18.0
2.8059988,0.05,41.666668,400,1.0,10.0
2.8239987,0.05,55.555557,400,0.0,14.0
2.8479986,0.05,41.666668,400,1.0,10.0
2.8659985,0.05,55.555557,400,1.0,14.0
2.8849986,0.05,52.63158,400,1.0,12.0
2.9019985,0.05,58.823524,400,1.0,15.0
2.9249985,0.05,43.47826,400,1.0,14.0
2.9439986,0.05,52.63158,400,1.0,10.0
2.9629986,0.05,52.63158,400,0.0,9.0
2.9789987,0.05,62.499996,400,0.0,10.0
2.9939988,0.05,66.66667,400,1.0,10.0
3.0119987,0.05,55.555557,400,1.0,12.0
3.0299985,0.05,55.555557,400,1.0,14.0
3.0489986,0.05,52.63158,400,0.0,14.0
3.0679986,0.05,52.63158,400,0.0,10.0
3.0859985,0.05,55.555557,400,1.0,14.0
3.1059985,0.05,50.0,400,0.0,12.0
3.1249986,0.05,52.63158,400,0.0,11.0
3.1449986,0.05,50.0,400,0.0,16.0
3.1739986,0.05,34.48276,400,1.0,19.0
3.2049985,0.05,32.258064,400,1.0,17.0
3.2299986,0.05,40.0,400,1.0,10.0
3.2479985,0.05,55.555557,400,1.0,11.0
3.2639985,0.05,62.499996,400,1.0,10.0
3.2819984,0.05,55.555557,400,0.0,14.0
3.3019984,0.05,50.0,400,0.0,10.0
3.3199983,0.05,55.555557,400,0.0,9.0
3.3389983,0.05,52.63158,400,1.0,10.0
3.3539984,0.05,66.66667,400,1.0,10.0
3.3729985,0.05,52.63158,400,0.0,9.0
3.3869984,0.05,71.428566,400,1.0,10.0
3.4059985,0.05,52.63158,400,0.0,10.0
3.4219985,0.05,62.499996,400,0.0,9.0
3.4399984,0.05,55.555557,400,0.0,9.0
3.4539983,0.05,71.428566,400,0.0,10.0
3.4719982,0.05,55.555557,400,0.0,10.0
3.4879982,0.05,62.499996,400,0.0,10.0
3.5039983,0.05,62.499996,400,1.0,10.0
3.5219982,0.05,55.555557,400,1.0,10.0
3.5379982,0.05,62.499996,400,1.0,10.0
3.5549982,0.05,58.823524,400,1.0,17.0
3.5769982,0.05,45.454544,400,1.0,11.0
3.5959983,0.05,52.63158,400,0.0,10.0
3.6119983,0.05,62.499996,400,1.0,11.0
3.6309984,0.05,52.63158,400,0.0,11.0
3.6479983,0.05,58.823524,400,0.0,10.0
3.6679983,0.05,50.0,400,0.0,9.0
3.6819983,0.05,71.428566,400,1.0,10.0
3.7029982,0.05,47.61905,400,1.0,10.0
3.7179983,0.05,66.66667,400,1.0,10.0
3.7359982,0.05,55.555557,400,0.0,9.0
3.753998,0.05,55.555557,400,0.0,16.0
3.776998,0.05,43.47826,400,1.0,23.0
3.8049982,0.05,35.714283,400,1.0,22.0
3.8329983,0.05,35.714283,400,0.0,21.0
3.8599982,0.05,37.037037,400,0.0,25.0
3.8909981,0.05,32.258064,400,1.0,40.0
3.937998,0.05,21.276596,400,1.0,44.0
3.988998,0.05,19.607843,400,1.0,48.0
4.043998,0.05,18.181818,400,1.0,37.0
4.0859976,0.05,23.809525,400,1.0,10.0
4.1059976,0.05,50.0,400,1.0,15.0
4.1269975,0.05,47.61905,400,0.0,10.0
4.1459975,0.05,52.63158,400,0.0,9.0
4.1629977,0.05,58.823524,400,0.0,10.0
4.1769977,0.05,71.428566,400,1.0,10.0
4.194998,0.05,55.555557,400,0.0,11.0
4.2109976,0.05,62.499996,400,0.0,12.0
4.2289977,0.05,55.555557,400,1.0,10.0
4.245998,0.05,58.823524,400,1.0,10.0
4.263998,0.05,55.555557,400,0.0,10.0
4.279998,0.05,62.499996,400,1.0,11.0
4.296998,0.05,58.823524,400,1.0,12.0
4.315998,0.05,52.63158,400,1.0,11.0
4.333998,0.05,55.555557,400,1.0,11.0
4.3509984,0.05,58.823524,400,1.0,10.0
4.3709984,0.05,50.0,400,0.0,16.0
4.3919983,0.05,47.61905,400,0.0,10.0
4.4099984,0.05,55.555557,400,1.0,18.0
4.4349985,0.05,40.0,400,0.0,18.0
4.4589987,0.05,41.666668,400,1.0,18.0
4.483999,0.05,40.0,400,1.0,18.0
4.507999,0.05,41.666668,400,1.0,18.0
4.532999,0.05,40.0,400,1.0,18.0
4.556999,0.05,41.666668,400,1.0,13.0
4.5739994,0.05,58.823524,400,1.0,11.0
4.5939994,0.05,50.0,400,1.0,11.0
4.6109996,0.05,58.823524,400,1.0,16.0
4.6349998,0.05,41.666668,400,1.0,18.0
4.661,0.05,38.461536,400,1.0,13.0
4.679,0.05,55.555557,400,1.0,10.0
4.697,0.05,55.555557,400,0.0,10.0
4.715,0.05,55.555557,400,0.0,16.0
4.738,0.05,43.47826,400,1.0,15.0
4.758,0.05,50.0,400,0.0,10.0
4.775,0.05,58.823524,400,1.0,10.0
4.793,0.05,55.555557,400,1.0,10.0
4.809,0.05,62.499996,400,1.0,10.0
4.827,0.05,55.555557,400,0.0,9.0
4.841,0.05,71.428566,400,1.0,10.0
4.859,0.05,55.555557,400,1.0,11.0
4.8770003,0.05,55.555557,400,0.0,10.0
4.893,0.05,62.499996,400,1.0,14.0
4.915,0.05,45.454544,400,1.0,17.0
4.9379997,0.05,43.47826,400,0.0,18.0
4.962,0.05,41.666668,400,0.0,10.0
4.98,0.05,55.555557,400,1.0,14.0
4.998,0.05,55.555557,400,1.0,11.0
5.017,0.05,52.63158,400,1.0,11.0
5.033,0.05,62.499996,400,1.0,11.0
5.052,0.05,52.63158,400,1.0,10.0
5.068,0.05,62.499996,400,1.0,10.0
5.087,0.05,52.63158,400,1.0,13.0
