tiempo,paso,n_part
0.027,0.027,0
0.134,0.107,0
0.156,0.022,0
0.177,0.021,0
0.196,0.019,0
0.21599999,0.02,0
0.234,0.018,0
0.257,0.023,0
0.275,0.018,0
0.29500002,0.02,0
0.31800002,0.023,0
0.337,0.019,0
0.356,0.019,0
0.37600002,0.02,0
0.398,0.022,0
0.418,0.02,0
0.43600002,0.018,0
0.455,0.019,0
0.47500002,0.02,0
0.49400002,0.019,0
0.51600003,0.022,0
0.535,0.019,0
0.555,0.02,0
0.57600003,0.021,0
0.596,0.02,0
0.616,0.02,0
0.637,0.021,0
0.65400004,0.017,0
0.6750001,0.021,0
0.6960001,0.021,0
0.7170001,0.021,0
0.73500013,0.018,0
0.75800014,0.023,0
0.77600014,0.018,0
0.79500014,0.019,0
0.81700015,0.022,0
0.83500016,0.018,0
0.85500014,0.02,0
0.87400013,0.019,0
0.89500016,0.021,0
0.9160002,0.021,0
0.9350002,0.019,0
0.95500016,0.02,0
0.97900015,0.024,0
0.99700016,0.018,0
1.0150001,0.018,0
1.0360001,0.021,0
1.0570002,0.021,0
1.0770001,0.02,0
1.0950001,0.018,0
1.1170001,0.022,0
1.1350001,0.018,0
1.1560001,0.021,0
1.1780001,0.022,0
1.195,0.017,0
1.2140001,0.019,0
1.2340001,0.02,0
1.256,0.022,0
1.2750001,0.019,0
1.2980001,0.023,0
1.315,0.017,0
1.335,0.02,0
1.355,0.02,0
1.378,0.023,0
1.395,0.017,0
1.416,0.021,0
1.4350001,0.019,0
1.4560001,0.021,0
1.4760001,0.02,0
1.4970001,0.021,0
1.5170001,0.02,0
1.5350001,0.018,0
1.5560001,0.021,0
1.5760001,0.02,0
1.5950001,0.019,0
1.6180001,0.023,0
1.6360002,0.018,0
1.6580001,0.022,0
1.6750001,0.017,0
1.6980001,0.023,0
1.7160001,0.018,0
1.7350001,0.019,0
1.7550001,0.02,0
1.7750001,0.02,0
1.797,0.022,0
1.815,0.018,0
1.8340001,0.019,0
1.8580002,0.024,0
1.8750001,0.017,0
1.8950001,0.02,0
1.917,0.022,0
1.937,0.02,0
1.9560001,0.019,0
1.9750001,0.019,0
1.9970001,0.022,0
2.019,0.022,0
2.035,0.016,0
2.056,0.021,0
2.075,0.019,0
2.095,0.02,0
2.118,0.023,0
2.137,0.019,0
2.1560001,0.019,0
2.1780002,0.022,0
2.196,0.018,0
2.2150002,0.019,0
2.2370002,0.022,0
2.2570002,0.02,0
2.2760003,0.019,0
2.2950003,0.019,0
2.3150003,0.02,0
2.3350003,0.02,0
2.3570004,0.022,0
2.3770003,0.02,0
2.3970003,0.02,0
2.4160004,0.019,0
2.4350004,0.019,0
2.4540005,0.019,0
2.4770005,0.023,0
2.4970005,0.02,0
2.5170004,0.02,0
2.5350003,0.018,0
2.5570004,0.022,0
2.5760005,0.019,0
2.5980005,0.022,0
2.6170006,0.019,0
2.6350005,0.018,0
2.6540005,0.019,0
2.6780005,0.024,0
2.6940005,0.016,0
2.7150004,0.021,0
2.7350004,0.02,0
2.7540004,0.019,0
2.7770004,0.023,0
2.7950003,0.018,0
2.8150003,0.02,0
2.8350003,0.02,0
2.8560002,0.021,0
2.874,0.018,0
2.897,0.023,0
2.917,0.02,0
2.934,0.017,0
2.955,0.021,0
2.9759998,0.021,0
2.998,0.022,0
3.0159998,0.018,0
3.0359998,0.02,0
3.0559998,0.02,0
3.0749998,0.019,0
3.0949998,0.02,0
3.1169999,0.022,0
3.136,0.019,0
3.1569998,0.021,0
3.1769998,0.02,0
3.1959999,0.019,0
3.215,0.019,0
3.235,0.02,0
3.257,0.022,0
3.274,0.017,0
3.2949998,0.021,0
3.314,0.019,0
3.337,0.023,0
3.3569999,0.02,0
3.376,0.019,0
3.396,0.02,0
3.4169998,0.021,0
3.4369998,0.02,0
3.4559999,0.019,0
3.4769998,0.021,0
3.4979997,0.021,0
3.5149996,0.017,0
3.5349996,0.02,0
3.5539997,0.019,0
3.5759997,0.022,0
3.5979998,0.022,0
3.6149998,0.017,0
3.6359997,0.021,0
3.6549997,0.019,0
3.6749997,0.02,0
3.6969998,0.022,0
3.7179997,0.021,0
3.7339997,0.016,0
3.7559998,0.022,0
3.7749999,0.019,0
3.7949998,0.02,0
3.8159997,0.021,0
3.8349998,0.019,0
3.8559997,0.021,0
3.8759997,0.02,0
3.8939996,0.018,0
3.9149995,0.021,0
3.9349995,0.02,0
3.9579995,0.023,0
3.9759994,0.018,0
3.9949994,0.019,0
4.0159993,0.021,0
4.0359993,0.02,0
4.056999,0.021,0
4.0759993,0.019,0
4.096999,0.021,0
4.1149993,0.018,0
4.136999,0.022,0
4.155999,0.019,0
4.174999,0.019,0
4.194999,0.02,0
4.214999,0.02,0
4.236999,0.022,0
4.256999,0.02,0
4.275999,0.019,0
4.295999,0.02,0
4.323999,0.028,1
4.349999,0.026,1
4.3729987,0.023,1
4.384999,0.012,1
4.4069986,0.022,1
4.4249988,0.018,1
4.4459987,0.021,1
4.4649987,0.019,1
4.4849987,0.02,1
4.5079985,0.023,1
4.5259986,0.018,1
4.5469985,0.021,1
4.5649986,0.018,1
4.5859985,0.021,1
4.6049986,0.019,1
4.6239986,0.019,1
4.6449986,0.021,1
4.6659985,0.021,1
4.6859984,0.02,1
4.7049985,0.019,1
4.7259984,0.021,1
4.7449985,0.019,1
4.7649984,0.02,1
4.7859983,0.021,1
4.8049984,0.019,1
4.8249984,0.02,1
4.847998,0.023,1
4.866998,0.019,1
4.8839984,0.017,1
4.9049983,0.021,1
4.9249983,0.02,1
4.947998,0.023,1
4.9649982,0.017,1
4.984998,0.02,1
5.0039983,0.019,1
5.026998,0.023,1
5.044998,0.018,1
5.063998,0.019,1
5.085998,0.022,1
5.104998,0.019,1
5.124998,0.02,1
5.146998,0.022,50
5.166998,0.02,50
5.184998,0.018,50
5.205998,0.021,50
5.225998,0.02,50
5.244998,0.019,50
5.265998,0.021,50
5.284998,0.019,50
5.306998,0.022,50
5.323998,0.017,50
5.343998,0.02,50
5.363998,0.02,50
5.388998,0.025,50
5.406998,0.018,50
5.4239984,0.017,50
5.4439983,0.02,50
5.4639983,0.02,50
5.4839983,0.02,50
5.504998,0.021,50
5.525998,0.021,50
5.544998,0.019,50
5.566998,0.022,50
5.584998,0.018,50
5.604998,0.02,50
5.625998,0.021,50
5.646998,0.021,50
5.665998,0.019,50
5.685998,0.02,50
5.706998,0.021,50
5.725998,0.019,50
5.745998,0.02,50
5.765998,0.02,0
5.784998,0.019,0
5.804998,0.02,0
5.825998,0.021,0
5.8469977,0.021,0
5.865998,0.019,0
5.884998,0.019,0
5.9059978,0.021,0
5.923998,0.018,0
5.9459977,0.022,0
5.9669976,0.021,0
5.9859977,0.019,0
6.0049977,0.019,0
6.023998,0.019,0
6.0469975,0.023,0
6.0649977,0.018,0
6.0849977,0.02,0
6.1069975,0.022,0
6.1249976,0.018,0
6.1459975,0.021,0
6.1659975,0.02,0
6.1879973,0.022,1
6.2049975,0.017,1
6.2259974,0.021,1
6.2459974,0.02,1
6.2659974,0.02,1
6.2859974,0.02,1
6.3049974,0.019,1
6.3249974,0.02,1
6.3449974,0.02,1
6.3669972,0.022,1
6.3839974,0.017,1
6.4059973,0.022,1
6.426997,0.021,1
6.447997,0.021,1
6.466997,0.019,1
6.4849973,0.018,1
6.506997,0.022,1
6.5239973,0.017,2
6.546997,0.023,2
6.564997,0.018,2
6.586997,0.022,2
6.604997,0.018,2
6.624997,0.02,2
6.645997,0.021,2
6.665997,0.02,2
6.684997,0.019,2
6.706997,0.022,2
6.727997,0.021,2
6.744997,0.017,2
6.764997,0.02,2
6.784997,0.02,2
6.805997,0.021,2
6.823997,0.018,2
