tiempo,paso,framerate,n_part,tiemposindraw,tiempocondraw
0.284,0.05,3.5211267,400,3.0,57.0
0.41900003,0.05,7.4074073,400,2.0,24.0
0.44900003,0.05,33.333336,400,2.0,21.0
0.47600004,0.05,37.037037,400,0.0,15.0
0.49800003,0.05,45.454544,400,0.0,19.0
0.522,0.05,41.666668,400,1.0,22.0
0.55,0.05,35.714283,400,1.0,19.0
0.577,0.05,37.037037,400,0.0,17.0
0.601,0.05,41.666668,400,1.0,22.0
0.63,0.05,34.48276,400,0.0,21.0
0.656,0.05,38.461536,400,1.0,10.0
0.675,0.05,52.63158,400,0.0,12.0
0.693,0.05,55.555557,400,1.0,8.0
0.71000004,0.05,58.823524,400,0.0,7.0
0.72900003,0.05,52.63158,420,1.0,9.0
0.745,0.05,62.499996,440,1.0,9.0
0.763,0.05,55.555557,460,0.0,8.0
0.777,0.05,71.428566,480,0.0,7.0
0.79800004,0.05,47.61905,500,1.0,9.0
0.81200004,0.05,71.428566,520,1.0,9.0
0.83100003,0.05,52.63158,540,1.0,9.0
0.846,0.05,66.66667,560,1.0,9.0
0.864,0.05,55.555557,580,1.0,9.0
0.879,0.05,66.66667,600,1.0,9.0
0.896,0.05,58.823524,620,2.0,10.0
0.91400003,0.05,55.555557,640,1.0,10.0
0.93,0.05,62.499996,660,1.0,10.0
0.948,0.05,55.555557,680,1.0,10.0
0.962,0.05,71.428566,700,1.0,15.0
0.984,0.05,45.454544,720,1.0,20.0
1.0090001,0.05,40.0,740,1.0,18.0
1.0320001,0.05,43.47826,760,1.0,10.0
1.0510001,0.05,52.63158,780,2.0,11.0
1.0680001,0.05,58.823524,800,1.0,9.0
1.0860001,0.05,55.555557,820,2.0,10.0
1.1010001,0.05,66.66667,840,2.0,11.0
1.1190001,0.05,55.555557,860,5.0,14.0
1.1380001,0.05,52.63158,880,2.0,11.0
1.1580001,0.05,50.0,900,1.0,10.0
1.1730001,0.05,66.66667,920,1.0,10.0
1.1920002,0.05,52.63158,940,2.0,12.0
1.2090001,0.05,58.823524,960,3.0,12.0
1.2280002,0.05,52.63158,980,2.0,11.0
1.2440002,0.05,62.499996,1000,2.0,11.0
1.2630002,0.05,52.63158,1020,2.0,11.0
1.2780002,0.05,66.66667,1040,2.0,12.0
1.2970003,0.05,52.63158,1060,3.0,12.0
1.3130003,0.05,62.499996,1080,2.0,12.0
1.3320004,0.05,52.63158,1100,2.0,11.0
1.3480004,0.05,62.499996,1120,2.0,11.0
1.3680004,0.05,50.0,1140,2.0,11.0
1.3850003,0.05,58.823524,1160,3.0,14.0
1.4030004,0.05,55.555557,1180,4.0,14.0
1.4210004,0.05,55.555557,1200,3.0,13.0
1.4390004,0.05,55.555557,1220,4.0,15.0
1.4580004,0.05,52.63158,1240,4.0,14.0
1.4770005,0.05,52.63158,1260,3.0,13.0
1.4960005,0.05,52.63158,1280,5.0,20.0
1.5230005,0.05,37.037037,1300,4.0,15.0
1.5430005,0.05,50.0,1320,4.0,14.0
1.5620005,0.05,52.63158,1340,4.0,15.0
1.5810006,0.05,52.63158,1360,4.0,15.0
1.6000006,0.05,52.63158,1380,4.0,15.0
1.6200006,0.05,50.0,1400,4.0,15.0
1.6400006,0.05,50.0,1420,4.0,15.0
1.6590006,0.05,52.63158,1440,4.0,15.0
1.6780007,0.05,52.63158,1460,4.0,15.0
1.6980007,0.05,50.0,1480,5.0,16.0
1.7180007,0.05,50.0,1500,4.0,16.0
1.7380006,0.05,50.0,1520,4.0,16.0
1.7580006,0.05,50.0,1540,4.0,16.0
1.7790006,0.05,47.61905,1560,4.0,16.0
1.7990006,0.05,50.0,1580,4.0,15.0
1.8200006,0.05,47.61905,1600,4.0,16.0
1.8400006,0.05,50.0,1620,4.0,16.0
1.8600006,0.05,50.0,1640,5.0,18.0
1.8820006,0.05,45.454544,1660,3.0,15.0
1.9010006,0.05,52.63158,1680,3.0,15.0
1.9200007,0.05,52.63158,1700,3.0,15.0
1.9410007,0.05,47.61905,1720,3.0,15.0
1.9620007,0.05,47.61905,1740,3.0,15.0
1.9830008,0.05,47.61905,1760,3.0,15.0
2.0040007,0.05,47.61905,1780,4.0,15.0
2.0250006,0.05,47.61905,1800,4.0,16.0
2.0460005,0.05,47.61905,1820,3.0,15.0
2.0670004,0.05,47.61905,1840,4.0,16.0
2.0890005,0.05,45.454544,1860,4.0,16.0
2.1090004,0.05,50.0,1880,4.0,16.0
2.1300004,0.05,47.61905,1900,4.0,17.0
2.1520004,0.05,45.454544,1920,4.0,17.0
2.1750004,0.05,43.47826,1940,4.0,18.0
2.1970005,0.05,45.454544,1960,4.0,17.0
2.2180004,0.05,47.61905,1980,4.0,17.0
2.2400005,0.05,45.454544,2000,4.0,17.0
2.2610004,0.05,47.61905,2020,4.0,18.0
2.2840004,0.05,43.47826,2040,4.0,17.0
2.3060005,0.05,45.454544,2060,4.0,18.0
2.3280005,0.05,45.454544,2080,4.0,18.0
2.3510005,0.05,43.47826,2100,4.0,17.0
2.3740005,0.05,43.47826,2120,4.0,18.0
2.3970006,0.05,43.47826,2140,5.0,19.0
2.4200006,0.05,43.47826,2160,4.0,18.0
